"","Mid"
"CD57",0.13655589123867
"Va7.2",0.0950151057401811
"IFN-g",0.144864048338368
"GrzB",0.144864048338368
"CD45RA",0.593504531722054
"CD27",0.402416918429003
"MIP1b",0.13655589123867
"TNF-a",0.111631419939577
"CD28",0.269486404833837
"IL-2",0.13655589123867
"KLRG1",0.252870090634441
"CCR7",0.352567975830815
"Perforin",0.144864048338368
"CD45RO",0.144864048338368
"CTLA-4",0.111631419939577
"CD39",0.144864048338368
"IL-8",0.111631419939577
"CD107a",0.194712990936555
"ICOS",0.13655589123867
"PD-1",0.169788519637462
"MIP1a",0.13655589123867
"IL-10",0.13655589123867
"CD62L",0.186404833836858
"CD40L",0.144864048338368
"CD38",0.144864048338368
"GrzA",0.111631419939577
"GM-CSF",0.0950151057401811
"CD127",0.13655589123867
"CD161_1",0.111631419939577
"CD161_2",0.0950151057401811
